;total_fallecidos;total_casos;total_altas;CCAA;Total Poblacion;TOTAL_PRUEBAS;Defunciones Esperadas;Defunciones Observadas;Diferencia Muertes;Desde;Hasta;Diferencia Muertes sospechosas;total_fallecidosx100m;total_casosx100m;total_altasx100m;TOTAL_PRUEBASx100m;total_fallecidos_ref;total_casos_ref;total_casos_fallecidos_ref
0;1391,0;16546,0;10671,0;Andalucia;8392537,0;502721;32790,0;34056;1266,0;2020-01-01;2020-12-05;-125,0;16,0;197,0;127,0;5990,0;0,0166;0,1972;8,4069
1;858,0;7339,0;3772,0;Aragon;1328759,0;102627;5222,0;5941;719,0;2020-01-01;2020-12-05;-139,0;64,0;552,0;283,0;7723,0;0,0646;0,5523;11,691
2;308,0;3359,0;1063,0;Asturias;1054408,0;182785;6081,0;6373;292,0;2020-01-01;2020-12-05;-16,0;29,0;318,0;100,0;17335,0;0,0292;0,3186;9,1694
3;222,0;2131,0;1533,0;Baleares;1121739,0;140175;3707,0;3720;13,0;2020-01-01;2020-12-05;-209,0;19,0;189,0;136,0;12496,0;0,0198;0,19;10,4176
4;157,0;2307,0;1537,0;Canarias;2120535,0;165611;7247,0;7533;286,0;2020-01-01;2020-12-05;129,0;7,0;108,0;72,0;7809,0;0,0074;0,1088;6,8054
5;209,0;2798,0;2287,0;Cantabria;586395,0;72802;2171,0;2310;139,0;2020-01-01;2020-12-05;-70,0;35,0;477,0;390,0;12415,0;0,0356;0,4772;7,4696
6;2940,0;25423,0;6392,0;Castilla La Mancha;2067191,0;253925;8718,0;13721;5003,0;2020-01-01;2020-12-05;2063,0;142,0;1229,0;309,0;12283,0;0,1422;1,2298;11,5643
7;1961,0;24918,0;8716,0;Castilla y Leon;2484931,0;488396;10546,0;13764;3218,0;2020-01-01;2020-12-05;1257,0;78,0;1002,0;350,0;19654,0;0,0789;1,0028;7,8698
8;6701,0;57531,0;26203,0;Cataluña;7400684,0;622732;30458,0;40967;10509,0;2020-01-01;2020-12-05;3808,0;90,0;777,0;354,0;8414,0;0,0905;0,7774;11,6476
9;4,0;178,0;163,0;Ceuta;84618,0;8549;170,0;283;113,0;2020-01-01;2020-12-05;109,0;4,0;210,0;192,0;10103,0;0,0047;0,2104;2,2472
10;506,0;4043,0;2652,0;Extremadura;1093587,0;97509;4798,0;5509;711,0;2020-01-01;2020-12-05;205,0;46,0;369,0;242,0;8916,0;0,0463;0,3697;12,5155
11;613,0;11103,0;9204,0;Galicia;2739229,0;359524;14316,0;14933;617,0;2020-01-01;2020-12-05;4,0;22,0;405,0;336,0;13125,0;0,0224;0,4053;5,521
12;358,0;5428,0;3107,0;La Rioja;314062,0;62969;1178,0;1371;193,0;2020-01-01;2020-12-05;-165,0;113,0;1728,0;989,0;20049,0;0,114;1,7283;6,5954
13;8977,0;72342,0;40736,0;Madrid;6376610,0;800345;19035,0;32635;13600,0;2020-01-01;2020-12-05;4623,0;140,0;1134,0;638,0;12551,0;0,1408;1,1345;12,4091
14;2,0;134,0;125,0;Melilla;83685,0;7373;182,0;235;53,0;2020-01-01;2020-12-05;51,0;2,0;160,0;149,0;8810,0;0,0024;0,1601;1,4925
15;149,0;2609,0;2180,0;Murcia;1463797,0;101708;5159,0;5301;142,0;2020-01-01;2020-12-05;-7,0;10,0;178,0;148,0;6948,0;0,0102;0,1782;5,711
16;509,0;8352,0;3905,0;Navarra;636024,0;118322;2671,0;3224;553,0;2020-01-01;2020-12-05;44,0;80,0;1313,0;613,0;18603,0;0,08;1,3132;6,0943
17;1494,0;18779,0;16160,0;País Vasco;2166044,0;354928;9772,0;11203;1431,0;2020-01-01;2020-12-05;-63,0;68,0;866,0;746,0;16386,0;0,069;0,867;7,9557
18;1393,0;14797,0;9970,0;Valencia;4949219,0;383515;20773,0;21723;950,0;2020-01-01;2020-12-05;-443,0;28,0;298,0;201,0;7749,0;0,0281;0,299;9,4141
